<sil>	SIL	sil
すると	スルト	s u r u t o
ず	ズ	z u
ずっと	ズット	z u q t o
せ	セ	s e
ぜ	ゼ	z e
そ	ソ	s o
そう	ソウ	s o u
そういう	ソウイウ	s o u i u
そこで	ソコデ	s o k o d e
そして	ソシテ	s o sh i t e
その	ソノ	s o n o
それ	ソレ	s o r e
それから	ソレカラ	s o r e k a r a
それで	ソレデ	s o r e d e
それら	ソレラ	s o r e r a
そろそろ	ソロソロ	s o r o s o r o
そんな	ソンナ	s o ng n a
そんなに	ソンナニ	s o ng n a n i
ぞ	ゾ	z o
た	タ	t a
たい	タイ	t a i
たくさん	タクサン	t a k u s a ng
ただいま	タダイマ	t a d a i m a
たち	タチ	t a ch i
たとえ	タトエ	t a t o e
ため	タメ	t a m e
たら	タラ	t a r a
だ	ダ	d a
だけ	ダケ	d a k e
だし	ダシ	d a sh i
だっ	ダッ	d a q
だって	ダッテ	d a q t e
だろ	ダロ	d a r o
ち	チ	ch i
ちゃんと	チャント	ch a ng t o
ちょうど	チョウド	ch o u d o
ちょっと	チョット	ch o q t o
ぢ	ヂ	j i
っ	ッ	q
つ	ツ	ts u
つける	ツケル	ts u k e r u
つまらない	ツマラナイ	ts u m a r a n a i
つまり	ツマリ	ts u m a r i
て	テ	t e
てる	テル	t e r u
で	デ	d e
でき	デキ	d e k i
できる	デキル	d e k i r u
でし	デシ	d e sh i
でしょ	デショ	d e sh o
です	デス	d e s u
でも	デモ	d e m o
と	ト	t o
という	トイウ	t o i u
とき	トキ	t o k i
ところ	トコロ	t o k o r o
として	トシテ	t o sh i t e
とても	トテモ	t o t e m o
とも	トモ	t o m o
と共に	トトモニ	t o t o m o n i
ど	ド	d o
どう	ドウ	d o long
どうして	ドウシテ	d o long sh i t e
どうも	ドウモ	d o u m o
どこ	ドコ	d o k o
どちら	ドチラ	d o ch i r a
どっち	ドッチ	d o q ch i
どんな	ドンナ	d o ng n a
な	ナ	n a
ない	ナイ	n a i
なかっ	ナカッ	n a k a q
なかなか	ナカナカ	n a k a n a k a
ながら	ナガラ	n a g a r a
なく	ナク	n a k u
なくなっ	ナクナッ	n a k u n a q
なけれ	ナケレ	n a k e r e
なっ	ナッ	n a q
なら	ナラ	n a r a
なり	ナリ	n a r i
なる	ナル	n a r u
なんて	ナンテ	n a ng t e
なんで	ナンデ	n a ng d e
に	ニ	n i
において	ニオイテ	n i o i t e
における	ニオケル	n i o k e r u
について	ニツイテ	n i ts u i t e
にとって	ニトッテ	n i t o q t e
によって	ニヨッテ	n i y o q t e
により	ニヨリ	n i y o r i
による	ニヨル	n i y o r u
に対して	ニタイシテ	n i t a i sh i t e
に対する	ニタイスル	n i t a i s u r u
ぬ	ヌ	n u
ね	ネ	n e
の	ノ	n o
ので	ノデ	n o d e
は	ハ	h a
は	ハ	w a
はいっ	ハイッ	h a i q
はじめ	ハジメ	h a j i m e
はじめまして	ハジメマシテ	h a j i m e m a sh i t e
はっきり	ハッキリ	h a q k i r i
ば	バ	b a
ひ	ヒ	h i
ひく	ヒク	h i k u
ひとつ	ヒトツ	h i t o ts u
ひとり	ヒトリ	h i t o r i
ひどく	ヒドク	h i d o k u
ふ	フ	f u
ふたり	フタリ	f u t a r i
ぶ	ブ	b u
へ	ヘ	h e
べ	ベ	b e
ほ	ホ	h o
ほか	ホカ	h o k a
ほとんど	ホトンド	h o t o ng d o
ほど	ホド	h o d o
ぼ	ボ	b o
ぽ	ポ	p o
ま	マ	m a
まし	マシ	m a sh i
ます	マス	m a s u
ませ	マセ	m a s e
また	マタ	m a t a
または	マタハ	m a t a h a
まだ	マダ	m a d a
まったく	マッタク	m a q t a k u
まで	マデ	m a d e
まとめる	マトメル	m a t o m e r u
まるで	マルデ	m a r u d e
み	ミ	m i
みんな	ミンナ	m i ng n a
め	メ	m e
も	モ	m o
もう	モウ	m o long
もちろん	モチロン	m o ch i r o ng
もの	モノ	m o n o
もらう	モラウ	m o r a u
や	ヤ	y a
やがて	ヤガテ	y a g a t e
やって来	ヤッテキ	y a q t e k i
やっと	ヤット	y a q t o
やっぱり	ヤッパリ	y a q p a r i
やはり	ヤハリ	y a h a r i
やる	ヤル	y a r u
ゆ	ユ	y u
ゆっくり	ユックリ	y u q k u r i
よ	ヨ	y o
よう	ヨウ	y o u
よかっ	ヨカッ	y o k a q
よく	ヨク	y o k u
よろしく	ヨロシク	y o r o sh i k u
ら	ラ	r a
らしい	ラシイ	r a sh i i
られ	ラレ	r a r e
られる	ラレル	r a r e r u
り	リ	r i
る	ル	r u
れ	レ	r e
れる	レル	r e r u
ろ	ロ	r o
わ	ワ	w a
わかり	ワカリ	w a k a r i
わたし	ワタシ	w a t a sh i
ゐ	ヰ	i
を	ヲ	o
ん	ン	ng
ァ	ァ	a
アップ	アップ	a q p u
アニメ	アニメ	a n i m e
アメリカ	アメリカ	a m e r i k a
アレルギー	アレルギー	a r e r u g i long
インターネット	インターネット	i ng t a long n e q t o
インド	インド	i ng d o
カフェ	カフェ	k a f e
カレー	カレー	k a r e long
ガ	ガ	g a
ガソリン	ガソリン	g a s o r i ng
キャンセル	キャンセル	k y a ng s e r u
キーボード	キーボード	k i long b o long d o
ギター	ギター	g i t a long
ク	ク	k u
クリスマス	クリスマス	k u r i s u m a s u
クリック	クリック	k u r i q k u
グラフ	グラフ	g u r a f u
ケーキ	ケーキ	k e long k i
ケーブル	ケーブル	k e long b u r u
ゲーム	ゲーム	g e long m u
コピー	コピー	k o p i long
コンサート	コンサート	k o ng s a long t o
コンビニ	コンビニ	k o ng b i n i
コーヒー	コーヒー	k o long h i long
ゴミ	ゴミ	g o m i
サイエンス	サイエンス	s a i e ng s u
サッカー	サッカー	s a q k a long
サラダ	サラダ	s a r a d a
サービス	サービス	s a long b i s u
シ	シ	sh i
システム	システム	sh i s u t e m u
シモン	シモン	sh i m o ng
ジャ	ジャ	j a
ジュース	ジュース	j u long s u
ジョギング	ジョギング	j o g i ng g u
ス	ス	s u
スケジュール	スケジュール	s u k e j u long r u
ストレッチ	ストレッチ	s u t o r e q ch i
スライド	スライド	s u r a i d o
スーパー	スーパー	s u long p a long
セ	セ	s e
センサー	センサー	s e ng s a long
ソ	ソ	s o
ソフトウェア	ソフトウェア	s o f u t o u a
タクシー	タクシー	t a k u sh i long
タワー	タワー	t a w a long
ダウンロード	ダウンロード	d a u ng r o long d o
チャンネル	チャンネル	ch a ng n e r u
チーム	チーム	ch i long m u
テスト	テスト	t e s u t o
テニス	テニス	t e n i s u
テレビ	テレビ	t e r e b i
デ	デ	d e
データ	データ	d e long t a
トイレ	トイレ	t o i r e
ド	ド	d o
ナ	ナ	n a
ネ	ネ	n e
ノ	ノ	n o
ノート	ノート	n o long t o
バス	バス	b a s u
バスケットボール	バスケットボール	b a s u k e q t o b o long r u
バック	バック	b a q k u
パ	パ	p a
パスタ	パスタ	p a s u t a
パスワード	パスワード	p a s u w a long d o
パソコン	パソコン	p a s o k o ng
パン	パン	p a ng
ビール	ビール	b i long r u
ピアノ	ピアノ	p i a n o
ファ	ファ	f a
ファイル	ファイル	f a i r u
フェ	フェ	f e
プリンター	プリンター	p u r i ng t a long
プレゼン	プレゼン	p u r e z e ng
プレゼント	プレゼント	p u r e z e ng t o
プログラム	プログラム	p u r o g u r a m u
プロジェクト	プロジェクト	p u r o j i k u t o
プール	プール	p u long r u
ヘ	ヘ	e
ペ	ペ	p e
ペン	ペン	p e ng
ホ	ホ	h o
ホテル	ホテル	h o t e r u
ホーム	ホーム	h o long m u
ポ	ポ	p o
ポケット	ポケット	p o k e q t o
マウス	マウス	m a u s u
マニュアル	マニュアル	m a n y u a r u
マラソン	マラソン	m a r a s o ng
ミ	ミ	m i
メール	メール	m e long r u
モニター	モニター	m o n i t a long
モーター	モーター	m o long t a long
ヨ	ヨ	y o
ヨガ	ヨガ	y o g a
ラ	ラ	r a
ラーメン	ラーメン	r a long m e ng
リ	リ	r i
リスト	リスト	r i s u t o
レ	レ	r e
レストラン	レストラン	r e s u t o r a ng
レポート	レポート	r e p o long t o
ロ	ロ	r o
ロボット	ロボット	r o b o q t o
ワ	ワ	w a
ワイン	ワイン	w a i ng
ヱイ	ヱイ	e i
ヲ	ヲ	o
ン	ン	ng
一	イチ	i ch i
一つ	ヒトツ	h i t o ts u
一切	イッサイ	i q s a i
一度	イチド	i ch i d o
一方	イッポウ	i q p o u
一番	イチバン	i ch i b a ng
一緒	イッショ	i q sh o
一般	イッパン	i q p a ng
上	ウエ	u e
上司	カミツカサ	k a m i ts u k a s a
下	カ	k a
不	フ	f u
不安	フアン	f u a ng
不思議	フシギ	f u sh i g i
不足	フソク	f u s o k u
与え	アタエ	a t a e
世界	セカイ	s e k a i
並ん	ナラン	n a r a ng
中	ナカ	n a k a
中央	チュウオウ	ch u u o u
中心	チュウシン	ch u u sh i ng
主人	シュジン	sh u j i ng
主体	シュタイ	sh u t a i
主観	シュカン	sh u k a ng
久しぶり	ヒサシブリ	h i s a sh i b u r i
乗り	ノリ	n o r i
乗り換え	ノリカエ	n o r i k a e
乗る	ノル	n o r u
九	キュウ	k y u u
予定	ヨテイ	y o t e i
予算	ヨサン	y o s a ng
予約	ヨヤク	y o y a k u
予防	ヨボウ	y o b o long
事実	ジジツ	j i j i ts u
二	ニ	n i
二つ	フタツ	f u t a ts u
云	ウン	u ng
五	ゴ	g o
井	イ	i
井伊	イイ	i i
井尾	イオ	i o
井生	イウ	i u
亜	ア	a
交換	コウカン	k o long k a ng
亥	イ	i
京都	キョウト	k y o long t o
人	ジン	j i ng
人々	ヒトビト	h i t o b i t o
人民	ジンミン	j i ng m i ng
人気	ニンキ	n i ng k i
人間	ニンゲン	n i ng g e ng
今	イマ	i m a
今年	コトシ	k o t o sh i
今度	コンド	k o ng d o
今日	キョウ	k y o long
今日	コンニチ	k o ng n i ch i
今月	コンゲツ	k o ng g e ts u
仕事	シゴト	sh i g o t o
仕方	シカタ	sh i k a t a
他	タ	t a
以上	イジョウ	i j o u
企画	キカク	k i k a k u
伊	イ	i
伍	ゴ	g o
伐	キ	k i
休み	ヤスミ	y a s u m i
休む	ヤスム	y a s u m u
休憩	キュウケイ	k y u long k e i
会社	カイシャ	k a i sh a
会議	カイギ	k a i g i
似	ニ	n i
位	イ	i
低い	ヒクイ	h i k u i
住む	スム	s u m u
佐	サ	s a
体	カラダ	k a r a d a
体操	タイソウ	t a i s o long
体温	タイオン	t a i o ng
体育館	タイイクカン	t a i i k u k a ng
何	ナニ	n a n i
何時	イツ	i ts u
作っ	ツクッ	ts u k u q
作る	ツクル	ts u k u r u
作成	サクセイ	s a k u s e i
使	シ	sh i
使う	ツカウ	ts u k a u
使わ	ツカワ	ts u k a w a
使用	シヨウ	sh i y o u
依	ヨ	y o
便利	ベンリ	b e ng r i
保存	ホゾン	h o z o ng
信号	シンゴウ	sh i ng g o long
修正	シュウセイ	sh u long s e i
個	コ	k o
個人	コジン	k o j i ng
個物	コブツ	k o b u ts u
借	カ	k a
借りる	カリル	k a r i r u
偈	ゲ	g e
停める	トメル	t o m e r u
健康	ケンコウ	k e ng k o long
傘	カサ	k a s a
働く	ハタラク	h a t a r a k u
僕	ボク	b o k u
僕ら	ボクラ	b o k u r a
儀	ギ	g i
元気	ゲンキ	g e ng k i
兄	アニ	a n i
充電	ジュウデン	j u long d e ng
先生	センセイ	s e ng s e i
先輩	センパイ	s e ng p a i
先週	センシュウ	s e ng sh u long
光る	ヒカル	h i k a r u
兎	ウ	u
児	コ	k o
入	イ	i
入っ	イッ	i q
入る	イル	i r u
入る	ハイル	h a i r u
入れる	イレル	i r e r u
入ん	イン	i ng
入学	ニュウガク	n y u long g a k u
入院	ニュウイン	n y u long i ng
全く	マッタク	m a q t a k u
全て	スベテ	s u b e t e
全体	ゼンタイ	z e ng t a i
全然	ゼンゼン	z e ng z e ng
全部	ゼンブ	z e ng b u
八	ハチ	h a ch i
公園	コウエン	k o long e ng
兵庫	ヒョウゴ	h y o u g o
兵隊	ヘイタイ	h e i t a i
具	グ	g u
具体	グタイ	g u t a i
内容	ナイヨウ	n a i y o long
円	エン	e ng
写真	シャシン	sh a sh i ng
冬休み	フユヤスミ	f u y u y a s u m i
凝	コ	k o
処	ショ	sh o
出かけ	デカケ	d e k a k e
出し	ダシ	d a sh i
出す	ダス	d a s u
出る	デル	d e r u
出勤	シュッキン	sh u q k i ng
出席	シュッセキ	sh u q s e k i
出張	シュッチョウ	sh u q ch o long
出来る	デキル	d e k i r u
出発	シュッパツ	sh u q p a ts u
刃	ハ	h a
分析	ブンセキ	b u ng s e k i
切	キ	k i
切る	キル	k i r u
切符	キップ	k i q p u
刈	カ	k a
初めて	ハジメテ	h a j i m e t e
判断	ハンダン	h a ng d a ng
利用	リヨウ	r i y o u
刳	ク	k u
剃	ス	s u
削除	サクジョ	s a k u j o
割	ワ	w a
創造	ソウゾウ	s o u z o u
力	チカラ	ch i k a r a
加	カ	k a
助	ジョ	j o
助手	ジョシュ	j o sh u
労働	ロウドウ	r o u d o u
勉強	ベンキョウ	b e ng k y o long
動く	ウゴク	u g o k u
動物	ドウブツ	d o u b u ts u
動画	ドウガ	d o long g a
勝つ	カツ	k a ts u
化	カ	k a
化学	カガク	k a g a k u
北海道	ホッカイドウ	h o q k a i d o long
区	ク	k u
医	イ	i
医者	イシャ	i sh a
十	ジュウ	j u u
千葉	チバ	ch i b a
午前	ゴゼン	g o z e ng
午後	ゴゴ	g o g o
卒業	ソツギョウ	s o ts u g y o long
卒論	ソツロン	s o ts u r o ng
協力	キョウリョク	k y o u r y o k u
南	ミナミ	m i n a m i
単なる	タンナル	t a ng n a r u
単位	タンイ	t a ng i
博物館	ハクブツカン	h a k u b u ts u k a ng
卦	ケ	k e
卯	ウ	u
卯尾	ウオ	u o
印	イン	i ng
印刷	インサツ	i ng s a ts u
即ち	スナワチ	s u n a w a ch i
卵	タマゴ	t a m a g o
原因	ゲンイン	g e ng i ng
厭い	アイ	a i
去	サ	s a
参加	サンカ	s a ng k a
又は	マタハ	m a t a h a
友人	ユウジン	y u u j i ng
友達	トモダチ	t o m o d a ch i
反	ソ	s o
反し	ハンシ	h a ng sh i
反対	ハンタイ	h a ng t a i
取	ト	t o
取り	トリ	t o r i
取る	トル	t o r u
受ける	ウケル	u k e r u
叙	ジョ	j o
口	クチ	k u ch i
古い	フルイ	f u r u i
句	ク	k u
可	カ	k a
台所	ダイドコロ	d a i d o k o r o
台風	タイフウ	t a i f u long
史	シ	sh i
右	ミギ	m i g i
合い	アイ	a i
合え	アエ	a e
合お	アオ	a o
合っ	アッ	a q
合格	ゴウカク	g o long k a k u
合理	ゴウリ	g o u r i
吊	ツ	ts u
同じ	オナジ	o n a j i
同一	ドウイツ	d o u i ts u
同僚	ドウリョウ	d o long r y o long
同時に	ドウジニ	d o u j i n i
名	ナ	n a
名刺	メイシ	m e i sh i
名前	ナマエ	n a m a e
向かっ	ムカッ	m u k a q
向け	ムケ	m u k e
向こう	ムコウ	m u k o u
君	キミ	k i m i
否定	ヒテイ	h i t e i
含ま	フクマ	f u k u m a
吽	ウン	u ng
吾輩	ワガハイ	w a g a h a i
味噌汁	ミソシル	m i s o sh i r u
呷	アオ	a o
呼	コ	k o
呼ぶ	ヨブ	y o b u
命令	メイレイ	m e i r e i
和え	アエ	a e
和歌山	ワカヤマ	w a k a y a m a
咲い	サイ	s a i
咲き	サキ	s a k i
咲く	サク	s a k u
咳	セキ	s e k i
品	シナ	sh i n a
員	イン	i ng
哲学	テツガク	t e ts u g a k u
唖々	アア	a a
唯々	イイ	i i
唯唯	イイ	i i
商品	ショウヒン	sh o long h i ng
問題	モンダイ	m o ng d a i
喜	キ	k i
喪	モ	m o
嗚呼	アア	a long
嚥	エン	e ng
回路	カイロ	k a i r o
因	イン	i ng
図	ズ	z u
図書館	トショカン	t o sh o k a ng
国	クニ	k u n i
国家	コッカ	k o q k a
国際	コクサイ	k o k u s a i
園	エン	e ng
圓	エン	e ng
在	ア	a
在っ	アッ	a q
在ん	アン	a ng
地	ジ	j i
地図	チズ	ch i z u
地域	チイキ	ch i i k i
地球	チキュウ	ch i k y u u
地面	ジメン	j i m e ng
址	シ	sh i
城	シロ	sh i r o
執	ト	t o
基	キ	k i
基板	キバン	k i b a ng
埼玉	サイタマ	s a i t a m a
報告	ホウコク	h o long k o k u
場合	バアイ	b a a i
場所	バショ	b a sh o
塗	ヌ	n u
塩	エン	e ng
増え	フエ	f u e
墺	オウ	o long
士	シ	sh i
売	ウ	u
売上	ウリアゲ	u r i a g e
変える	カエル	k a e r u
変わら	カワラ	k a w a r a
変化	ヘンカ	h e ng k a
変更	ヘンコウ	h e ng k o long
夏休み	ナツヤスミ	n a ts u y a s u m i
夕方	ユウガタ	y u long g a t a
外国	ガイコク	g a i k o k u
多	オオ	o long
多い	オオイ	o long i
夜	ヤ	y a
夢	ユメ	y u m e
大	オオ	o long
大きい	オオキイ	o long k i i
大きく	オオキク	o o k i k u
大きな	オオキナ	o o k i n a
大丈夫	ダイジョウブ	d a i j o long b u
大事	ダイジ	d a i j i
大分	オオイタ	o o i t a
大切	タイセツ	t a i s e ts u
大変	タイヘン	t a i h e ng
大好き	ダイスキ	d a i s u k i
大学	ダイガク	d a i g a k u
大阪	オオサカ	o long s a k a
天気	テンキ	t e ng k i
太陽	タイヨウ	t a i y o long
失敗	シッパイ	sh i q p a i
失礼	シツレイ	sh i ts u r e i
奇	キ	k i
契約	ケイヤク	k e i y a k u
女	オンナ	o ng n a
女の子	オンナノコ	o ng n a n o k o
女性	ジョセイ	j o s e i
如き	ゴトキ	g o t o k i
如く	ゴトク	g o t o k u
妹	イモウト	i m o long t o
姉	アネ	a n e
始まり	ハジマリ	h a j i m a r i
始まる	ハジマル	h a j i m a r u
始め	ハジメ	h a j i m e
委	イ	i
姿	スガタ	s u g a t a
威	イ	i
娘	コ	k o
婦	フ	f u
婬	イン	i ng
媒介	バイカイ	b a i k a i
嫁	カ	k a
子	コ	k o
子供	コドモ	k o d o m o
存在	ソンザイ	s o ng z a i
季	キ	k i
孤	コ	k o
学ぶ	マナブ	m a n a b u
学校	ガッコウ	g a q k o long
学生	ガクセイ	g a k u s e i
宇宙	ウチュウ	u ch u u
守る	マモル	m a m o r u
安	アン	a ng
安い	ヤスイ	y a s u i
安心	アンシン	a ng sh i ng
完了	カンリョウ	k a ng r y o long
完全	カンゼン	k a ng z e ng
宗教	シュウキョウ	sh u u k y o u
実在	ジツザイ	j i ts u z a i
実行	ジッコウ	j i q k o long
実際	ジッサイ	j i q s a i
実験	ジッケン	j i q k e ng
客観	キャッカン	k y a q k a ng
家	イエ	i e
家族	カゾク	k a z o k u
宿題	シュクダイ	sh u k u d a i
富士山	フジサン	f u j i s a ng
寒い	サムイ	s a m u i
寝	ネ	n e
寝る	ネル	n e r u
対応	タイオウ	t a i o long
対立	タイリツ	t a i r i ts u
対象	タイショウ	t a i sh o u
射	イ	i
将来	ショウライ	sh o long r a i
小	オ	o
小さい	チイサイ	ch i long s a i
小さな	チイサナ	ch i i s a n a
小林	コバヤシ	k o b a y a sh i
少し	スクナシ	s u k u n a sh i
少年	ショウネン	sh o u n e ng
尹	イン	i ng
尾	オ	o
屁	ヘ	h e
居	イ	i
居酒屋	イザカヤ	i z a k a y a
届い	トドイ	t o d o i
届き	トドキ	t o d o k i
届く	トドク	t o d o k u
屋	ヤ	y a
屋上	オクジョウ	o k u j o long
履く	ハク	h a k u
山	サン	s a ng
山	ヤマ	y a m a
岐阜	ギフ	g i f u
岡山	オカヤマ	o k a y a m a
川	カワ	k a w a
川	ガワ	g a w a
州都	シュウト	sh u u t o
巣	ス	s u
工場	コウジョウ	k o long j o long
差	サ	s a
巳	ミ	m i
巻き込ま	マキコマ	m a k i k o m a
市	シ	sh i
布団	フトン	f u t o ng
師	シ	sh i
帰っ	カエッ	k a e q
帰る	カエル	k a e r u
帰省	キセイ	k i s e i
常識	ジョウシキ	j o u sh i k i
帽子	ボウシ	b o long sh i
干	ヒ	h i
干す	ホス	h o s u
幸せ	シアワセ	sh i a w a s e
広い	ヒロイ	h i r o i
広島	ヒロシマ	h i r o sh i m a
序	ジョ	j o
店	テン	t e ng
府	フ	f u
座	ザ	z a
座っ	スワッ	s u w a q
座る	スワル	s u w a r u
庭	ニワ	n i w a
庵	アン	a ng
建物	タテモノ	t a t e m o n o
弁当	ベントウ	b e ng t o long
弁証法	ベンショウホウ	b e ng sh o u h o u
引き分け	ヒキワケ	h i k i w a k e
引っ越し	ヒッコシ	h i q k o sh i
弟	オトウト	o t o long t o
弧	コ	k o
強い	シイ	sh i i
強く	ツヨク	ts u y o k u
弾く	ハジク	h a j i k u
弾く	ヒク	h i k u
形	カタチ	k a t a ch i
彫	エ	e
彫っ	エッ	e q
彫ん	エン	e ng
影響	エイキョウ	e i k y o u
役所	ヤクショ	y a k u sh o
彼	カレ	k a r e
彼ら	カレラ	k a r e r a
彼女	カノジョ	k a n o j o
彼等	カレラ	k a r e r a
往ん	イン	i ng
待っ	マッ	m a q
待つ	マツ	m a ts u
後輩	コウハイ	k o long h a i
徐	ジョ	j o
得	ウ	u
得ん	エン	e ng
御	オ	o
微	ビ	b i
徳島	トクシマ	t o k u sh i m a
心	ココロ	k o k o r o
心配	シンパイ	sh i ng p a i
必ず	カナラズ	k a n a r a z u
必要	ヒツヨウ	h i ts u y o u
忌ん	イン	i ng
忘れ	ワスレ	w a s u r e
忘れ物	ワスレモノ	w a s u r e m o n o
忙しい	イソガシイ	i s o g a sh i i
思い	オモイ	o m o i
思う	オモウ	o m o u
思っ	オモッ	o m o q
思わ	オモワ	o m o w a
急	キュウ	k y u u
性質	セイシツ	s e i sh i ts u
恕	ジョ	j o
恩	オン	o ng
悪い	ワルイ	w a r u i
悪魔	アクマ	a k u m a
情報	ジョウホウ	j o long h o long
想像	ソウゾウ	s o u z o u
意	イ	i
意識	イシキ	i sh i k i
愚	グ	g u
愛	アイ	a i
愛知	アイチ	a i ch i
感じる	カンジル	k a ng j i r u
憂	ウ	u
成功	セイコウ	s e i k o u
成立	セイリツ	s e i r i ts u
成績	セイセキ	s e i s e k i
成長	セイチョウ	s e i ch o u
我	ガ	g a
我々	ワレワレ	w a r e w a r e
戦争	センソウ	s e ng s o u
戸	コ	k o
戻っ	モドッ	m o d o q
所	ショ	sh o
手	シュ	sh u
手紙	テガミ	t e g a m i
手続き	テツヅキ	t e ts u z u k i
手術	シュジュツ	sh u j u ts u
打ち合わせ	ウチアワセ	u ch i a w a s e
打つ	ウツ	u ts u
承認	ショウニン	sh o long n i ng
技	ギ	g i
技術	ギジュツ	g i j u ts u
把	ワ	w a
折	オ	o
折る	オル	o r u
抽象	チュウショウ	ch u u sh o u
担当	タントウ	t a ng t o long
拠	ヨ	y o
持	ジ	j i
持つ	モツ	m o ts u
指示	シジ	sh i j i
挨拶	アイサツ	a i s a ts u
振	フ	f u
捕	ト	t o
掃除	ソウジ	s o long j i
授業	ジュギョウ	j u g y o long
掘	ホ	h o
採	ト	t o
探偵	タンテイ	t a ng t e i
接種	セッシュ	s e q sh u
描く	エガク	e g a k u
提出	テイシュツ	t e i sh u ts u
提案	テイアン	t e i a ng
揺	ユ	y u
携帯	ケイタイ	k e i t a i
摂	ト	t o
摺	ス	s u
撃っ	ウッ	u q
撚	ヨ	y o
撮	ト	t o
撮り	トリ	t o r i
撮る	トル	t o r u
擂	ス	s u
改札	カイサツ	k a i s a ts u
政治	セイジ	s e i j i
故	コ	k o
故に	ユエニ	y u e n i
教え	オシエ	o sh i e
教室	キョウシツ	k y o long sh i ts u
教師	キョウシ	k y o u sh i
教授	キョウジュ	k y o long j u
教科書	キョウカショ	k y o long k a sh o
教育	キョウイク	k y o u i k u
散	チ	ch i
